Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,80, Grass,0
Prey, 0, Predator,80, Grass,0
Prey, 0, Predator,80, Grass,0
Prey, 0, Predator,83, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,75, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,75, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,75, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,76, Grass,0
Prey, 0, Predator,71, Grass,0
Prey, 0, Predator,69, Grass,0
Prey, 0, Predator,68, Grass,0
Prey, 0, Predator,66, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,64, Grass,0
Prey, 0, Predator,68, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,67, Grass,0
Prey, 0, Predator,65, Grass,0
Prey, 0, Predator,66, Grass,0
Prey, 0, Predator,68, Grass,0
Prey, 0, Predator,69, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,74, Grass,0
Prey, 0, Predator,71, Grass,0
Prey, 0, Predator,72, Grass,0
Prey, 0, Predator,72, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,70, Grass,0
Prey, 0, Predator,69, Grass,0
Prey, 0, Predator,71, Grass,0
Prey, 0, Predator,72, Grass,0
Prey, 0, Predator,71, Grass,0
Prey, 0, Predator,73, Grass,0
Prey, 0, Predator,77, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,75, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,79, Grass,0
Prey, 0, Predator,80, Grass,0
Prey, 0, Predator,81, Grass,0
Prey, 0, Predator,83, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,84, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,85, Grass,0
Prey, 0, Predator,86, Grass,0
Prey, 0, Predator,88, Grass,0
Prey, 0, Predator,87, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,90, Grass,0
Prey, 0, Predator,89, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,93, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,91, Grass,0
Prey, 0, Predator,99, Grass,0
Prey, 0, Predator,99, Grass,0
Prey, 0, Predator,105, Grass,0
Prey, 0, Predator,101, Grass,0
Prey, 0, Predator,101, Grass,0
Prey, 0, Predator,101, Grass,0
Prey, 0, Predator,100, Grass,0
Prey, 0, Predator,99, Grass,0
Prey, 0, Predator,99, Grass,0
